Date,Shares
2019-10-15,10270000
2019-12-31,10120000
2020-02-03,10100000
2020-03-31,9764000
2020-04-20,9764000
2020-06-30,9686000
2020-07-20,9686000
2020-09-30,9267000
2020-10-19,9267000
2020-12-31,9587000
2021-02-02,9587000
2021-03-29,9746000
2021-03-31,9746000
2021-04-22,9746000
2021-06-11,9747000
2021-06-30,9748000
2021-07-22,9748000
2021-09-12,10300000
2021-09-30,10360000
2021-10-21,10360000
2021-11-29,10930000
2021-12-08,11050000
2021-12-29,11220000
2021-12-31,11290000
2022-02-01,11290000
2022-03-28,11300000
2022-03-31,11300000
2022-04-26,11300000
2022-06-30,11300000
2022-07-26,11300000
2022-09-07,11310000
2022-09-30,11320000
2022-10-25,11320000
2022-12-27,11540000
2022-12-31,11550000
2023-02-02,11550000
2023-03-27,12940000
2023-03-31,12960000
2023-04-24,12960000
2023-04-27,12960000
2023-06-27,14040000
2023-06-30,14080000
2023-07-25,14090000
2023-07-28,14090000
2023-09-30,14510000
2023-10-24,14520000
2023-11-28,15640000
2023-12-26,16710000
2023-12-31,16870000
2024-02-01,16970000
